FCIN20200316631,PEREMPUAN TANAH JAHANAM,SURAYA FILEM PRODUCTION AND DISTRIBUTION SDN. BHD,LULUS DENGAN PENGUBAHAN (LDP),18,13/1/2020
FCKT20200316671,ALL'S WELL END'S WELL 2020 - 2D,LOTUS FIVE STAR AV (M) SDN. BHD.,LULUS DENGAN PENGUBAHAN (LDP),P13,13/1/2020
FTTM20200316685,SANTHITTHA NAAL MUTHAL - 110SAAT,TOP MOVIES SDN BHD,LULUS DENGAN PENGUBAHAN (LDP),U,14/1/2020
FCMD20200316747,JIANG ZIYA : LEGEND OF DEIFICATION - 2D,GSC MOVIES SDN BHD,LULUS DENGAN PENGUBAHAN (LDP),P13,14/1/2020
FCHD20200316756,PANGA,ANTENNA ENTERTAINMENTS SDN BHD,LULUS BERSIH (LB),P13,15/1/2020
FTEN20200316740,MORBIUS (TRL. B) 2D,SONY PICTURES ENTERTAINMENT MALAYSIA SDN. BHD.,LULUS BERSIH (LB),U,15/1/2020
FCEN20200316587,FANTASY ISLAND (2D),SONY PICTURES ENTERTAINMENT MALAYSIA SDN. BHD.,LULUS DENGAN PENGUBAHAN (LDP),18,15/1/2020
FCTM20200316769,RAJAVUKKU CHECK -2D,LOTUS FIVE STAR AV (M) SDN. BHD.,LULUS DENGAN PENGUBAHAN (LDP),18,15/1/2020
FCJM20200316780,DETECTIVE CHINATOWN 3,MM2 FILM DISTRIBUTION SDN BHD,LULUS DENGAN PENGUBAHAN (LDP),P13,15/1/2020
FTMD20200316784,THE RESCUE - CNY GREETING,MM2 FILM DISTRIBUTION SDN BHD,LULUS BERSIH (LB),U,15/1/2020
FTBM20200316721,TOWN MALL,ENUJA PRODUCTION SDN. BHD.,LULUS BERSIH (LB),U,15/1/2020
FCGE20200316714,BLUE MOUNTAINS OR UNBELIEVABLE STORY,EMBASSY OF GEORGIA,LULUS BERSIH (LB),P13,15/1/2020
FTJP20200316748,HER BLUE SKY,GSC MOVIES SDN BHD,LULUS BERSIH (LB),U,15/1/2020
FTMD20200316746,JIANG ZIYA : LEGEND OF DEIFICATION,GSC MOVIES SDN BHD,LULUS BERSIH (LB),U,15/1/2020
FAJP20200316749,HER BLUE SKY - 2D,GSC MOVIES SDN BHD,LULUS DENGAN PENGUBAHAN (LDP),P13,15/1/2020
FTBM20200316805,JODOH SYAITAN,EMPIRE FILM SOLUTION SDN.BHD.,LULUS BERSIH (LB),U,15/1/2020
FTKT20200316815,KIDNAPPED,TOUCHLAND ENTERTAINMENT SDN BHD,LULUS BERSIH (LB),U,16/1/2020
FCEN20200316781,BIRDS OF PREY: AND THE FANTABULOUS EMANCIPATION OF ONE HARLEY QUINN (2D),WARNER BROS. MALAYSIA SDN. BHD.,LULUS DENGAN PENGUBAHAN (LDP),18,16/1/2020
FCEN20200316820,DOWNHILL (2D),THE WALT DISNEY COMPANY (MALAYSIA) SDN. BHD.,LULUS BERSIH (LB),18,16/1/2020
FCBM20200316826,ZOMBITOPIA,YUSARI FILEM SDN. BHD.,LULUS BERSIH (LB),P13,16/1/2020
FCTM20200316821,PSYCHO ,MSK FILM PRODUCTION SDN BHD,LULUS DENGAN PENGUBAHAN (LDP),18,16/1/2020
FCKT20200316833,THE GRAND GRANDMASTER -2D,GSC MOVIES SDN BHD,LULUS DENGAN PENGUBAHAN (LDP),P13,16/1/2020
FCTM20200316840,OH MY KADAVULE - 2D,LOTUS FIVE STAR AV (M) SDN. BHD.,LULUS DENGAN PENGUBAHAN (LDP),P13,16/1/2020
FCHD20200316850,STREET DANCER,SURAYA FILEM PRODUCTION AND DISTRIBUTION SDN. BHD,LULUS DENGAN PENGUBAHAN (LDP),P13,17/1/2020
FTEN20200316851,BLOODSHOT (TRL. L) 2D,SONY PICTURES ENTERTAINMENT MALAYSIA SDN. BHD.,LULUS BERSIH (LB),U,17/1/2020
FCEN20200316822,THE GENTLEMEN - 2D,TGV PICTURES SDN. BHD.,LULUS DENGAN PENGUBAHAN (LDP),18,17/1/2020
FCEN20200316862,SONIC THE HEDGEHOG (2D),UNITED INTERNATIONAL PICTURES (SDN),LULUS BERSIH (LB),P13,20/1/2020
FTKR20200316943,HITMAN : AGENT JUN,ATRINAGA SDN BHD,LULUS BERSIH (LB),U,21/1/2020
FCMD20200316977,THE RESCUE,MM2 FILM DISTRIBUTION SDN BHD,LULUS DENGAN PENGUBAHAN (LDP),P13,21/1/2020
FCTM20200316993,VAANAM KOTTATTUM - 2D,LOTUS FIVE STAR AV (M) SDN. BHD.,LULUS DENGAN PENGUBAHAN (LDP),P13,22/1/2020
FTBM20200316968,EYE ON THE BALL,SMG ENTERTAINMENT SDN BHD,LULUS BERSIH (LB),U,22/1/2020
FTEN20200316996,THE SECRET GARDEN,TGV PICTURES SDN. BHD.,LULUS BERSIH (LB),U,22/1/2020
